Table:GL_ACCNT_BALANCE,e04,e04,會計科目餘額檔,e04,e04,e04,e04,e04,e04
COMPANY_ID,UNIT_ID,ACCNT_YEAR,ACCNT_NO,ACCNT_PERIOD,PERIOD_DEBIT,PERIOD_CREDIT,LAST_UPDATE_DATE,VOU_DEBIT_COUNT,VOU_CREDIT_COUNT
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,14310,2002,612824,2,32354,0,2002/4/12,1,0
1,14310,2002,612824,2,32354,0,2002/4/12,1,0
1,14310,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34000,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34510,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,34530,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,3000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11120,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,11100,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,1000,2002,612824,2,32354,0,2002/4/12,1,0
1,1000,2002,612824,2,32354,0,2002/4/12,1,0
1,1000,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11210,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11220,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,34550,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,32000,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11200,2002,612824,2,32354,0,2002/4/12,1,0
1,11000,2002,612824,2,32354,0,2002/4/12,1,0
1,11000,2002,612824,2,32354,0,2002/4/12,1,0
1,11000,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,11300,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31000,2002,612824,2,32354,0,2002/4/12,1,0
1,31500,2002,612824,2,32354,0,2002/4/12,1,0
1,31500,2002,612824,2,32354,0,2002/4/12,1,0
1,31500,2002,612824,2,32354,0,2002/4/12,1,0
1,31500,2002,612824,2,32354,0,2002/4/12,1,0
1,31500,2002,612824,2,32354,0,2002/4/12,1,0
1,31500,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,4000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
1,6000,2002,612824,2,32354,0,2002/4/12,1,0
